EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
-2,-4,5,-2,0,-1,-2,0,0.229492188,-0.772949219,0.618652344,-0.324279785,-0.310119629,0.370056152,0.813415527,-10.6875,5.8125,-5.25,1,1
-1,2,3,4,6,1,-5,-2,0.212890625,-0.778808594,0.635742188,-0.325500488,-0.309326172,0.368835449,0.813842773,-6.5,6.375,-5.875,1,1
-3,-1,-2,-3,-1,1,5,0,0.221191406,-0.747558594,0.624023438,-0.326171875,-0.30847168,0.367370605,0.81451416,-4.6875,7.3125,-7.5,1,1
-1,-2,-5,-3,1,3,-5,-1,0.239257813,-0.7578125,0.62890625,-0.327209473,-0.308044434,0.365844727,0.815002441,-7.5,6.125,-6.6875,1,1
0,-3,-6,-1,-1,0,-2,1,0.241699219,-0.777832031,0.619140625,-0.328796387,-0.307678223,0.364562988,0.815063477,-9.8125,6.1875,-4.0625,1,1
2,-1,12,2,-2,1,3,-2,0.243164063,-0.7890625,0.602050781,-0.33013916,-0.307189941,0.363586426,0.815124512,-6,6.1875,-2.875,1,1
-5,-4,-6,-4,-2,-5,-6,-3,0.229492188,-0.782714844,0.608398438,-0.330871582,-0.306335449,0.363037109,0.815368652,-2.25,5.4375,-2.3125,1,1
-1,1,3,3,2,-1,-12,-5,0.227050781,-0.7734375,0.588378906,-0.331665039,-0.305908203,0.362487793,0.815490723,-2.9375,3.6875,-2.25,1,1
-1,-1,-5,-3,0,-1,-2,-1,0.225097656,-0.757324219,0.588378906,-0.332214355,-0.305603027,0.361999512,0.815551758,-2.5625,2.1875,-2.75,1,1
-3,-2,-5,-6,-2,-2,4,0,0.224609375,-0.747558594,0.582519531,-0.332641602,-0.305786133,0.36151123,0.815551758,-3.5,-0.25,-3.3125,1,1
-3,-5,0,0,-4,-1,-2,1,0.168457031,-0.728027344,0.586914063,-0.350646973,-0.261901855,0.410827637,0.799743652,1.5,4.75,7.9375,2,1
-2,-1,-4,-4,1,1,1,4,0.198730469,-0.733398438,0.584472656,-0.351501465,-0.261535645,0.410217285,0.799865723,-3.9375,8.5,3.125,2,1
0,4,5,7,5,6,3,-4,0.21875,-0.740722656,0.584472656,-0.352722168,-0.261352539,0.40814209,0.800415039,-7.3125,12.8125,-3.25,2,1
-4,0,2,0,-4,-2,1,-3,0.274414063,-0.741210938,0.572265625,-0.353515625,-0.261535645,0.404724121,0.801757813,-5.6875,16.25,-10,2,1
3,-2,4,-3,0,1,-1,0,0.318359375,-0.7265625,0.561035156,-0.354675293,-0.26159668,0.399475098,0.803833008,-8.625,24.5625,-17.125,2,1
-1,1,-1,-1,2,2,3,-3,0.375,-0.70703125,0.5625,-0.355957031,-0.261169434,0.391479492,0.807373047,-10.125,37,-28.4375,2,1
-1,1,-6,-11,-10,-3,1,-3,0.435546875,-0.692382813,0.55859375,-0.35748291,-0.260253906,0.380432129,0.812255859,-12.25,50.1875,-41.5,2,1
2,-1,4,5,-3,-2,4,0,0.514160156,-0.693847656,0.600585938,-0.358947754,-0.259399414,0.36505127,0.818908691,-17.3125,63.875,-62,2,1
-6,-3,1,4,-6,-3,-4,0,0.681152344,-0.645507813,0.534179688,-0.361083984,-0.259033203,0.342956543,0.827575684,-25.25,86.875,-89,2,1
-1,-1,-2,4,2,3,-2,-1,0.84375,-0.655273438,0.519042969,-0.365905762,-0.252929688,0.317138672,0.837585449,-28.0625,113.75,-113.5,2,1
-3,-4,-11,1,1,-4,-4,-1,0.904296875,-0.692871094,0.484375,-0.371948242,-0.244689941,0.284790039,0.848937988,-36.1875,142.625,-140.125,2,1
-2,2,1,-1,1,3,1,-4,0.9453125,-0.68359375,0.454101563,-0.378234863,-0.233642578,0.245056152,0.861572266,-39.5625,174.75,-172,2,1
-4,-2,-1,-2,-5,-5,-3,-2,0.98046875,-0.703125,0.413085938,-0.385192871,-0.220581055,0.19708252,0.874145508,-50.5,203.8125,-207.0625,2,1
-2,-3,2,6,-4,-2,-1,1,1.013183594,-0.7265625,0.372558594,-0.393188477,-0.205200195,0.140136719,0.885253906,-66.6875,235,-244.75,2,1
-1,-1,4,-1,1,5,2,1,1.125,-0.814941406,0.330078125,-0.402404785,-0.187438965,0.072814941,0.893127441,-88.875,269.375,-287.375,2,1
2,4,6,2,12,9,-5,2,1.140625,-0.930175781,0.29296875,-0.410644531,-0.164672852,-0.00402832,0.896789551,-99.8125,312.0625,-325.4375,2,1
2,-2,-9,-13,-8,-14,-6,-4,1.002441406,-0.956054688,0.296875,-0.414672852,-0.137756348,-0.086364746,0.895324707,-95.5625,340.5,-350.5,2,1
-2,-3,-1,-1,-2,-1,1,-4,0.872558594,-0.976074219,0.305175781,-0.415466309,-0.109741211,-0.169921875,0.886779785,-96.8125,344.0625,-362.875,2,1
2,-6,0,2,2,2,-3,0,0.761230469,-1.056640625,0.329101563,-0.4140625,-0.080993652,-0.252929688,0.870666504,-103.375,342.25,-369.375,2,1
-5,-4,-6,2,-5,-1,2,2,0.588867188,-1.100097656,0.337402344,-0.41003418,-0.051879883,-0.333618164,0.847290039,-106.5625,336.625,-371.5,2,1
3,2,8,3,32,10,0,0,0.504882813,-1.236328125,0.383789063,-0.405334473,-0.022033691,-0.410827637,0.816345215,-120.125,330.25,-369.625,2,1
1,1,10,9,-8,-6,1,0,0.626953125,-1.309082031,0.223144531,-0.401733398,0.010559082,-0.483703613,0.777526855,-146.875,331.6875,-360.9375,2,1
0,3,5,4,13,27,-2,-1,0.708496094,-1.367675781,0.166503906,-0.389465332,0.040283203,-0.548400879,0.738952637,-97.6875,325.125,-329.0625,2,1
-7,0,9,-1,-21,-10,25,2,0.643554688,-1.256347656,0.239746094,-0.375732422,0.065368652,-0.600280762,0.70300293,-75.875,279.9375,-275.875,2,1
-7,-21,-93,-96,-49,-44,-22,-4,0.778808594,-0.995117188,0.20703125,-0.36340332,0.091186523,-0.642822266,0.66809082,-88.125,259.4375,-230.1875,2,1
-9,-6,3,21,7,1,-14,-2,0.736328125,-1.103515625,0.223632813,-0.353210449,0.119873047,-0.676330566,0.635192871,-106.125,242.1875,-183.5625,2,1
-3,-5,-6,6,5,0,-7,-2,0.549316406,-1.179199219,0.280273438,-0.340209961,0.143798828,-0.702209473,0.608642578,-69.5,213.625,-140.75,2,1
-3,-1,-5,1,-3,-8,-6,-1,0.479492188,-1.044921875,0.244628906,-0.325805664,0.163574219,-0.72265625,0.587280273,-43.3125,189.125,-107.5,2,1
0,8,-3,8,1,3,-1,2,0.377929688,-1.044433594,0.278808594,-0.309692383,0.179077148,-0.739257813,0.570495605,-15.5625,169.1875,-82.125,2,1
0,-2,18,12,7,8,3,-1,0.215332031,-0.962402344,0.296875,-0.292114258,0.188415527,-0.752868652,0.558898926,20.875,142.625,-60.875,2,1
-3,4,16,7,0,-3,0,-4,0.127441406,-0.853515625,0.399902344,-0.276184082,0.194030762,-0.763183594,0.551025391,32.0625,112.75,-42.1875,2,1
-9,-5,-7,-4,-5,-8,-12,-2,0.070800781,-0.873535156,0.499511719,-0.264831543,0.202758789,-0.770263672,0.543518066,20,93.75,-37.8125,2,1
1,-6,2,-8,-2,-1,-2,2,0.030273438,-0.806152344,0.516113281,-0.253479004,0.208435059,-0.776855469,0.537475586,31.25,80.3125,-34.1875,2,1
-3,2,-6,4,-1,-3,-7,-2,-0.028808594,-0.676269531,0.563964844,-0.241149902,0.210998535,-0.782287598,0.534240723,42.625,66.875,-21.1875,2,1
-1,-1,4,6,2,0,-6,0,-0.071289063,-0.67578125,0.588867188,-0.230773926,0.213684082,-0.786193848,0.531982422,35.125,53.3125,-15.3125,2,1
0,-1,-4,-5,-3,-2,-2,-2,-0.024414063,-0.680175781,0.578613281,-0.223205566,0.216552734,-0.789306641,0.529418945,25.6875,43.4375,-15,2,1
1,-1,10,-1,-1,2,-1,-4,0.047851563,-0.663085938,0.594726563,-0.217224121,0.218200684,-0.791931152,0.52734375,24.8125,36.125,-11.5,2,1
-4,0,-11,-8,-3,-3,-3,-2,0.013183594,-0.631347656,0.63671875,-0.211975098,0.219482422,-0.793884277,0.526000977,21.125,27.875,-7.75,2,1
-1,1,-5,-4,-3,-4,-2,1,0.045898438,-0.596679688,0.63671875,-0.208007813,0.219848633,-0.795654297,0.524780273,19.8125,21.0625,-8.0625,2,1
0,-3,2,7,5,-2,-2,0,0.045410156,-0.532226563,0.590332031,-0.205566406,0.221252441,-0.796203613,0.524230957,8,15.5,-1.125,2,1
-4,-4,-5,3,0,-2,-2,0,0.002441406,-0.547363281,0.657714844,-0.203857422,0.224304199,-0.795532227,0.524719238,-3.9375,11.3125,6.8125,2,1
-3,1,-11,-1,-2,-2,-2,-1,0.069824219,-0.645507813,0.698242188,-0.203918457,0.227844238,-0.794616699,0.524475098,-9.3125,9.25,4.4375,2,1
-1,0,5,9,0,-1,-1,-3,0.094238281,-0.568847656,0.737792969,-0.203613281,0.229492188,-0.793945313,0.524902344,-4.5625,6.3125,6.6875,2,1
0,-3,-4,-6,0,0,-3,-1,0.020507813,-0.538085938,0.768066406,-0.202636719,0.230957031,-0.792663574,0.526611328,-4.125,2.0625,12.625,2,1
-5,-2,-9,-6,-6,-2,-1,1,0.037597656,-0.565917969,0.770019531,-0.202819824,0.232055664,-0.791137695,0.528381348,-5.125,-3.625,12.1875,2,1
-2,-2,-10,-4,-1,-3,0,0,0.084472656,-0.577148438,0.768554688,-0.204040527,0.232788086,-0.789489746,0.530029297,-5.9375,-6.625,12,2,1
-5,-4,-1,-2,2,2,-1,-3,0.047363281,-0.561523438,0.791503906,-0.204101563,0.232421875,-0.788024902,0.532348633,1.75,-7.8125,13.375,2,1
-4,-3,5,-3,-3,-3,-5,1,0.03515625,-0.540527344,0.812988281,-0.204467773,0.231506348,-0.786621094,0.534606934,1.125,-11.375,11.75,2,1
-4,-2,-3,-1,0,-4,-2,-2,0.076171875,-0.5390625,0.829589844,-0.205871582,0.230773926,-0.78527832,0.536376953,-4.125,-12.625,9.4375,2,1
-4,-8,-9,-1,-4,-2,-1,-3,0.08203125,-0.538085938,0.831542969,-0.207763672,0.229858398,-0.783935547,0.538024902,-5.125,-14.875,8.25,2,1
-3,-1,-7,0,-2,1,1,3,0.072753906,-0.513183594,0.81640625,-0.209838867,0.229064941,-0.782409668,0.539733887,-7.5625,-16.3125,8.8125,2,1
-3,-4,-9,-2,-6,-4,-7,-3,0.083007813,-0.533691406,0.841308594,-0.212524414,0.229003906,-0.780822754,0.54107666,-12.9375,-16.1875,7.625,2,1
-1,-5,-3,1,3,-3,-4,-1,0.117675781,-0.560546875,0.826171875,-0.215209961,0.228759766,-0.779418945,0.542114258,-10.6875,-14.4375,6.5,2,1
1,1,-4,0,0,-1,-3,0,0.112304688,-0.536621094,0.833007813,-0.216918945,0.227844238,-0.778259277,0.543457031,-5.4375,-12.375,7.625,2,1
-4,-3,-6,-4,-4,-3,-4,0,0.111816406,-0.541015625,0.838867188,-0.218566895,0.227233887,-0.777038574,0.544799805,-6.9375,-11.875,7.8125,2,1
1,0,-13,-10,-1,0,-1,0,0.126464844,-0.553710938,0.845703125,-0.22064209,0.226867676,-0.775878906,0.545776367,-9.0625,-11.6875,6.75,2,1
-3,-3,12,3,-1,0,-4,-1,0.128417969,-0.555175781,0.853027344,-0.22265625,0.226379395,-0.774780273,0.546691895,-8.9375,-11.5,5.6875,2,1
-6,-2,4,-5,0,-1,0,-1,0.125,-0.548828125,0.8671875,-0.224121094,0.225219727,-0.773986816,0.547790527,-4.8125,-11.875,5.25,2,1
-1,2,3,-5,-4,-4,-4,-1,0.138183594,-0.534667969,0.85546875,-0.225646973,0.223693848,-0.773193359,0.548828125,-3.3125,-12.375,4.9375,2,1
-1,-1,2,-2,-2,-4,-4,-4,0.142089844,-0.545410156,0.856445313,-0.227111816,0.222045898,-0.772460938,0.549926758,-2.0625,-12.3125,5.125,2,1
1,-4,-2,2,-1,-4,-2,-1,0.138671875,-0.538085938,0.835449219,-0.22833252,0.220581055,-0.771728516,0.551086426,-1.3125,-11.25,5.5625,2,1
-4,-3,-12,-4,0,-6,-6,1,0.139648438,-0.549804688,0.841796875,-0.229370117,0.219360352,-0.770996094,0.552124023,-1.875,-9.4375,5.5625,2,1
1,3,-11,0,0,-1,-4,-1,0.146972656,-0.5546875,0.829101563,-0.230163574,0.218139648,-0.770446777,0.553039551,0.1875,-7.625,4.75,2,1
-2,-2,-7,-1,-2,-3,-5,-1,0.15234375,-0.541015625,0.827148438,-0.230651855,0.216796875,-0.770141602,0.553833008,1,-5.9375,4.0625,2,1
-6,-3,2,3,-2,-2,-3,-1,0.151367188,-0.546875,0.834472656,-0.231201172,0.215698242,-0.769836426,0.554382324,-0.25,-5.375,3.0625,2,1
-3,-5,-5,-2,-1,-3,-2,-1,0.145507813,-0.5390625,0.836425781,-0.231750488,0.21472168,-0.76965332,0.554870605,-1.4375,-5.1875,2.3125,2,1
-3,0,9,-4,-3,-1,-3,1,0.129882813,-0.540527344,0.832519531,-0.23236084,0.214172363,-0.769348145,0.555236816,-3.25,-4.875,1.875,2,1
-4,-6,-1,-2,1,-3,-5,-2,0.1328125,-0.560058594,0.821289063,-0.233093262,0.213623047,-0.769165039,0.555419922,-2.6875,-5,0.4375,2,1
-3,-2,-4,-8,-5,-2,-3,-3,0.149414063,-0.562011719,0.8203125,-0.233764648,0.212463379,-0.769165039,0.555480957,0.875,-5.25,-0.875,2,1
-2,-2,-1,0,-1,-2,-2,-2,0.151855469,-0.543457031,0.813476563,-0.234313965,0.211303711,-0.769226074,0.555603027,0.5625,-4.8125,-0.375,2,1
-3,-4,-13,-5,-4,-3,-3,2,0.147949219,-0.54296875,0.83203125,-0.234802246,0.210571289,-0.769226074,0.555664063,-2.0625,-3.875,-0.0625,2,1
-3,-2,-8,-8,-2,-1,-5,-2,0.154296875,-0.558105469,0.842285156,-0.235534668,0.210083008,-0.769165039,0.555725098,-3.25,-3.75,0.125,2,1
-2,-2,4,-3,-1,-2,-3,-1,0.140136719,-0.559082031,0.833007813,-0.235839844,0.209533691,-0.769165039,0.555786133,-1.3125,-3,-0.375,2,1
-3,-2,-10,-6,-3,-3,-2,-1,0.135253906,-0.553710938,0.829101563,-0.235839844,0.20880127,-0.769348145,0.555725098,0.3125,-2,-1.125,2,1
-1,-1,-1,-1,2,1,-2,-4,0.137695313,-0.5625,0.828125,-0.235900879,0.208190918,-0.769592285,0.555725098,0.625,-1.875,-1.375,2,1
-4,-4,19,2,-2,-2,-3,-1,0.146972656,-0.549316406,0.808105469,-0.23614502,0.207397461,-0.769592285,0.555847168,0.625,-2.9375,0.125,2,1
-2,-3,-6,-1,-3,-2,-2,-3,0.14453125,-0.546875,0.812011719,-0.236572266,0.20715332,-0.76953125,0.555847168,-2.6875,-2.125,-0.0625,2,1
